entryid,goodsid
2,450562
2,486152
2,472920
2,412556
2,386637
2,284731
2,42155
2,402038
2,436145
2,435687
2,4885
2,391992
2,195227
2,483672
2,322409
2,85409
2,389701
2,429706
2,42347
2,210028
2,412110
2,515418
2,385630
2,450975
2,86006
2,449195
2,994
2,468353
2,467349
2,193226
2,477599
2,98830
2,386143
2,399083
2,856
2,373505
2,355970
2,446148
2,3385
2,31568
2,230355
2,996
2,367173
2,43185
2,415441
2,462158
2,466317
2,38843
2,124087
2,54609
2,328952
2,448608
2,536438
2,481490
2,5748
2,14158
2,394147
2,59077
2,101461
2,103966
2,2665
2,451549
2,367172
2,473318
2,473805
2,492109
2,339028
2,475833
2,471081
2,380760
2,26996
2,361564
2,352101
2,481343
2,187945
2,229444
2,5424
2,430799
2,397352
2,42033
2,364491
2,441872
2,465792
2,436846
2,432872
2,6025
2,502601
2,359909
2,34196
2,328456
2,352876
2,53098
2,284415
2,1782
2,373827
2,468297
2,60275
2,399153
2,340405
2,78754
2,27237
2,317296
2,66839
2,27448
2,442040
2,27316
2,63779
2,299779
2,332164
2,441433
2,465903
2,5922
2,491288
2,260032
2,57153
2,143574
2,446290
2,459439
2,243554
2,449471
2,242409
2,1408
2,27035
2,416651
2,480886
2,291
2,91551
2,506296
2,2858
2,3126
2,376695
2,525497
2,435428
2,42961
2,436634
2,454897
2,456366
2,410325
2,284745
2,507983
2,219550
2,175808
2,5312
2,74707
2,494917
2,371436
2,5023
2,421
2,441227
2,3428
2,23825
2,81026
2,78110
2,24788
2,2306
2,277643
2,407983
2,235191
2,328466
2,41843
2,297724
2,41804
2,53672
2,259387
2,499183
2,6123
2,4070
2,427875
2,526282
2,493718
2,269212
2,15011
2,286578
2,486353
2,409812
2,102089
2,1249
2,372619
2,98972
2,75923
2,337054
2,417503
2,419388
2,5926
2,474081
2,240993
2,38899
2,31716
2,385404
2,36797
2,452381
2,36705
2,76061
2,37795
2,453370
2,6159
2,177685
2,26558
2,247278
2,411444
2,105529
2,476514
2,419590
2,335116
2,9589
2,441877
2,479853
2,520326
2,352796
2,4681
2,1217
2,223788
2,6654
2,177348
2,481876
2,286023
2,485363
2,90755
2,334763
2,96065
2,6439
2,24894
2,362630
2,43483
2,812
2,145708
2,2743
2,468779
2,324664
2,28453
2,434819
2,274748
2,354442
2,179414
2,31266
2,329507
2,383310
2,461530
2,413840
2,54542
2,298055
2,415953
2,419416
2,426349
2,359352
2,5697
2,463307
2,331740
2,531767
2,272829
2,448866
2,465794
2,27493
2,401655
2,492034
2,441690
2,5986
2,496137
2,475309
2,397883
2,90511
2,189827
2,241543
2,184955
2,349867
2,182127
2,375873
2,164247
2,248990
2,396709
2,5077
2,27650
2,148709
2,448405
2,193597
2,5103
2,92708
2,521836
2,450980
2,287599
2,493424
2,24539
2,532006
2,502600
2,469765
2,503454
2,363055
2,474291
2,467412
2,89511
2,3853
2,322766
2,267072
2,394331
2,26881
2,465631
2,498679
2,419179
2,47064
2,206008
2,486176
2,174936
2,193888
2,207208
2,36257
2,502602
2,302922
2,409253
2,238264
2,82190
2,293605
2,34330
2,114287
2,66007
2,396589
2,23720
2,456587
2,455458
2,87907
2,92996
2,467066
2,231454
2,1780
2,495947
2,174290
2,43116
2,269494
2,461401
2,39901
2,102650
2,355579
2,403704
2,392237
2,392297
2,546894
2,430521
2,3095
2,91719
2,415588
2,74942
2,49460
2,26654
2,249624
2,423256
2,485842
2,371572
2,416227
2,429859
2,494414
2,293768
2,5285
2,329306
2,362167
2,26463
2,449871
2,413206
2,465052
2,392837
2,185107
2,193007
2,42854
2,274842
2,332428
2,399254
2,369274
2,486175
2,467071
2,295349
2,423230
2,429664
2,85384
2,277710
2,723
2,480081
2,492777
2,321917
2,392071
2,21160
2,338060
2,502599
2,91492
2,77467
2,26691
2,423421
2,92942
2,393035
2,495455
2,443337
2,26744
2,188735
2,216628
2,427214
2,437646
2,459381
2,298294
2,298842
2,36149
2,343124
2,445320
2,89912
2,448626
2,83321
2,478309
2,21009
2,93113
2,2169
2,1738
2,498116
2,201107
2,43077
2,135548
2,312609
2,283709
2,39618
2,104045
2,92793
2,488820
2,383277
2,170590
2,49552
2,500326
2,400604
2,485612
2,396364
2,467193
2,326720
2,47230
2,233271
2,207994
2,83180
2,495194
2,507214
2,385124
2,435189
2,3302
2,435422
2,123087
2,473020
2,98115
2,437842
2,399354
2,240529
2,408773
2,66627
2,97481
2,406529
2,5860
2,419067
2,379502
2,474084
2,31296
2,447111
2,409931
2,175150
2,64722
2,479330
2,477720
2,766
2,286727
2,439206
2,462056
2,513093
2,4777
2,229554
2,6314
2,283009
2,413231
2,93000
2,5569
2,3437
2,23413
2,281871
2,97646
2,2252
2,358383
2,39536
2,26553
2,327914
2,436096
2,385835
2,84640
2,424590
2,387230
2,54787
2,297402
2,409196
2,321884
2,495859
2,5661
2,411803
2,540940
2,27974
2,94860
2,268740
2,5514
2,482685
2,447139
2,430979
2,5113
2,243674
2,26223
2,318578
2,248532
2,420146
2,2842
2,27616
2,135209
2,6393
2,185028
2,3555
2,515503
2,504232
2,526472
2,415910
2,465172
2,277074
2,91578
2,109574
2,290635
2,82025
2,336537
2,240126
2,196456
2,26311
2,496562
2,477224
2,71117
2,435437
2,442814
2,452380
2,86983
2,240637
2,85002
2,291207
2,73258
2,459201
2,37163
2,302650
2,439106
2,91528
2,434443
2,295350
2,498260
2,452548
2,36242
2,392740
2,2201
2,444793
2,1054
2,23315
2,429912
2,75451
2,2403
2,473834
2,3396
2,431578
2,484
2,260082
2,46899
2,428559
2,544851
2,487837
2,264105
2,14253
2,439041
2,262098
2,5645
2,349207
2,101126
2,143367
2,382415
2,4354
2,478245
2,471091
2,102906
2,34085
2,2562
2,24600
2,26414
2,94483
2,492428
2,428881
2,484653
2,501835
2,172448
2,640
2,1813
2,410229
2,409097
2,272893
2,429266
2,403740
2,380771
2,333476
2,280872
2,412450
2,457314
2,449928
2,297307
2,42638
2,354338
2,533178
2,4069
2,352760
2,386534
2,538907
2,278190
2,4976
2,465912
2,205242
2,327414
2,328602
2,5639
2,446629
2,461021
2,484647
2,434678
2,91067
2,79676
2,28256
2,94372
2,339355
2,490515
2,189188
2,388704
2,391831
2,407211
2,129517
2,451637
2,26709
2,196804
2,96690
2,404884
2,437736
2,431166
2,502238
2,295755
2,28405
2,122748
2,464649
2,407580
2,488822
2,476189
2,364713
2,449861
2,485365
2,430424
2,290348
2,318
2,26361
2,501599
2,439772
2,20446
2,85756
2,6869
2,401
2,446717
2,215969
2,43310
2,27562
2,458998
2,303852
2,446282
2,238522
2,282688
2,33908
2,110751
2,147467
2,70850
2,72474
2,78424
2,388574
2,174698
2,400605
2,451084
2,39981
2,26505
2,3596
2,331741
2,454542
2,406860
2,467935
2,52933
2,9602
2,224156
2,14263
2,188827
2,74869
2,531420
2,504841
2,381247
2,504177
2,3281
2,454538
2,386819
2,452551
2,464498
2,79704
2,67102
2,349412
