entryid,customerid
1.0,11272
1.0,11273
1.0,11275
1.0,11277
1.0,11279
1.0,11280
1.0,11281
1.0,11283
1.0,11284
1.0,11285
1.0,11287
1.0,11288
1.0,11290
1.0,11293
1.0,11298
1.0,11294
1.0,11299
1.0,11300
1.0,11304
1.0,11305
1.0,11309
1.0,11310
1.0,11315
1.0,11320
1.0,11322
1.0,11331
1.0,11333
1.0,11344
1.0,11345
1.0,11348
1.0,11359
1.0,11666
2.0,11359
1.0,11350
1.0,11485
144.0,11359
1.0,11733
1.0,11668
1.0,11734
1.0,10938
1.0,11544
1.0,11343
1.0,11582
1.0,11099
1.0,11125
1.0,11669
1.0,11084
1.0,11737
1.0,11145
1.0,11740
1.0,12202
1.0,12281
1.0,11756
1.0,11761
1.0,12321
1.0,11754
1.0,11047
1.0,12481
1.0,10442
1.0,10475
1.0,10690
144.0,10690
1.0,10714
1.0,10480
1.0,10731
1.0,10735
1.0,10738
1.0,10753
1.0,10755
1.0,10758
1.0,10761
1.0,10763
1.0,10778
1.0,10768
1.0,10800
1.0,10802
1.0,10814
1.0,10807
1.0,10842
1.0,10861
1.0,10871
1.0,10881
1.0,10900
1.0,10905
1.0,10930
1.0,10091
2.0,10189
1.0,10167
104.0,10189
1.0,10189
144.0,10189
5.0,10189
1.0,10689
1.0,10412
1.0,10709
1.0,10713
1.0,10715
1.0,10722
1.0,10728
1.0,10730
1.0,10737
1.0,10734
1.0,10744
1.0,10747
1.0,10760
1.0,10762
1.0,10764
1.0,10765
1.0,10775
1.0,10782
1.0,10793
1.0,10803
1.0,10796
1.0,10801
1.0,10806
1.0,10810
1.0,10835
1.0,10815
1.0,10840
1.0,10841
1.0,10845
1.0,10864
1.0,10865
1.0,10885
1.0,10908
1.0,10921
1.0,10926
1.0,10888
1.0,10929
1.0,10932
1.0,10940
1.0,10952
1.0,10954
1.0,10956
1.0,10980
1.0,10983
1.0,10986
1.0,10999
1.0,11000
1.0,11011
1.0,11017
1.0,11007
1.0,11009
1.0,11054
1.0,11038
1.0,11046
1.0,11067
1.0,11059
1.0,11060
1.0,11065
1.0,11114
1.0,11119
1.0,11082
1.0,11098
1.0,11101
1.0,11144
1.0,11156
1.0,11123
1.0,11131
1.0,11187
1.0,11162
1.0,11172
2.0,11240
1.0,11219
1.0,11242
1.0,11222
1.0,11240
1.0,11254
1.0,11252
1.0,11253
1.0,11257
1.0,11258
1.0,11260
1.0,11259
1.0,11261
1.0,11262
1.0,11263
1.0,11264
1.0,11265
1.0,11266
1.0,11267
1.0,11268
1.0,11269
1.0,11270
1.0,11271
1.0,17504
1.0,20023
104.0,28258
104.0,27672
104.0,27815
104.0,27811
104.0,27990
5.0,27990
104.0,27365
104.0,27912
104.0,27937
104.0,28225
104.0,27904
104.0,27789
104.0,28153
104.0,27785
104.0,27359
104.0,28125
104.0,27227
104.0,27681
104.0,27208
104.0,27544
104.0,27973
104.0,27253
104.0,27535
104.0,27216
104.0,27215
104.0,27804
104.0,27648
104.0,27807
104.0,27252
104.0,27778
104.0,27141
104.0,28132
104.0,27011
104.0,27058
104.0,27309
104.0,27010
104.0,28081
104.0,28245
104.0,27782
104.0,27307
1.0,20328
1.0,20506
104.0,27225
104.0,27538
104.0,27914
104.0,27244
104.0,27608
104.0,27711
104.0,27932
104.0,28131
104.0,28204
104.0,28240
104.0,28284
104.0,27059
104.0,27217
104.0,27231
104.0,27188
104.0,28047
104.0,28111
104.0,28218
104.0,27202
5.0,29311
1.0,19898
1.0,20022
104.0,27522
104.0,27500
1.0,28780
104.0,27266
104.0,27873
104.0,27760
104.0,27794
104.0,27262
104.0,27607
104.0,27258
104.0,27303
104.0,27820
104.0,27308
104.0,27702
104.0,27652
104.0,27269
104.0,27651
104.0,27650
104.0,27877
104.0,27238
104.0,10646
1.0,16325
1.0,16686
104.0,27014
104.0,27028
104.0,27052
104.0,27053
104.0,27017
104.0,27056
104.0,27057
104.0,27064
104.0,27054
104.0,27140
104.0,27190
104.0,27199
104.0,27132
104.0,27204
104.0,27205
104.0,27220
104.0,27201
104.0,27254
104.0,27276
104.0,27305
104.0,27249
104.0,27328
104.0,27348
104.0,27306
104.0,27418
104.0,27527
104.0,27350
104.0,27364
104.0,27638
